cohort_month,order_month,customer_unique_id,order_id,payment_value,cohort_index
2017-08,2017-11,11,11,1014.62,3
2017-08,2017-12,14,14,1755.13,4
2017-08,2018-01,21,23,2883.84,5
2017-08,2018-02,12,12,1864.71,6
2017-08,2018-03,11,11,1949.83,7
2017-08,2018-04,6,6,1800.03,8
2017-08,2018-05,6,6,1204.9099999999999,9
2017-08,2018-06,10,10,1460.1599999999999,10
2017-08,2018-07,8,8,1825.6,11
2017-08,2018-08,5,5,595.78,12
2017-09,2017-09,4004,4070,689826.07,0
2017-09,2017-10,28,28,3659.34,1
2017-09,2017-11,22,22,3182.57,2
2017-09,2017-12,11,15,1661.37,3
2017-09,2018-01,18,18,3226.19,4
2017-09,2018-02,9,13,2055.95,5
2017-09,2018-03,9,9,1067.34,6
2017-09,2018-04,10,10,965.3299999999999,7
2017-09,2018-05,11,11,1168.15,8
2017-09,2018-06,7,7,695.8,9
2017-09,2018-07,10,10,1195.16,10
2017-09,2018-08,3,3,326.3,11
2017-10,2017-10,4328,4384,737586.82,0
2017-10,2017-11,31,33,4443.59,1
2017-10,2017-12,11,11,1643.41,2
2017-10,2018-01,4,4,578.4200000000001,3
2017-10,2018-02,10,11,1486.94,4
2017-10,2018-03,9,9,1408.03,5
2017-10,2018-04,9,9,1102.8400000000001,6
2017-10,2018-05,16,17,2448.18,7
2017-10,2018-06,12,13,2349.37,8
2017-10,2018-07,8,8,1977.3600000000001,9
2017-10,2018-08,9,9,960.39,10
2017-11,2017-11,7060,7160,1135550.02,0
2017-11,2017-12,40,42,8078.2699999999995,1
2017-11,2018-01,26,27,3969.24,2
2017-11,2018-02,12,12,1588.94,3
2017-11,2018-03,12,12,2124.07,4
2017-11,2018-04,13,14,1895.05,5
2017-11,2018-05,8,9,1133.3600000000001,6
2017-11,2018-06,13,13,1811.9099999999999,7
2017-11,2018-07,9,9,1323.64,8
2017-11,2018-08,4,4,678.31,9
2017-12,2017-12,5338,5395,824374.14,0
2017-12,2018-01,11,11,2369.92,1
2017-12,2018-02,15,16,1922.78,2
2017-12,2018-03,18,20,2168.62,3
2017-12,2018-04,14,14,1959.48,4
2017-12,2018-05,11,11,2055.2,5
2017-12,2018-06,9,9,1258.7,6
2017-12,2018-07,1,1,284.96,7
2017-12,2018-08,10,10,1543.8200000000002,8
2018-01,2018-01,6842,6934,1057966.09,0
2018-01,2018-02,23,23,3650.85,1
2018-01,2018-03,25,25,3685.98,2
2018-01,2018-04,20,20,3418.21,3
2018-01,2018-05,20,20,2663.14,4
2018-01,2018-06,11,12,1586.64,5
2018-01,2018-07,12,12,1393.54,6
2018-01,2018-08,16,16,1643.58,7
2018-02,2018-02,6288,6435,950284.28,0
2018-02,2018-03,22,22,3024.45,1
2018-02,2018-04,25,26,4230.1,2
2018-02,2018-05,19,19,3518.6,3
2018-02,2018-06,16,16,2168.38,4
2018-02,2018-07,14,14,3050.56,5
2018-02,2018-08,13,13,1730.8500000000001,6
2018-03,2018-03,6774,6860,1101021.52,0
2018-03,2018-04,27,27,3058.08,1
2018-03,2018-05,20,23,3526.76,2
2018-03,2018-06,20,21,3264.78,3
2018-03,2018-07,8,8,1360.77,4
2018-03,2018-08,8,8,519.7,5
2018-04,2018-04,6582,6633,1108063.3,0
2018-04,2018-05,39,39,5090.03,1
2018-04,2018-06,20,20,3581.14,2
2018-04,2018-07,16,16,1886.83,3
2018-04,2018-08,9,10,849.0,4
2018-05,2018-05,6506,6556,1100046.33,0
2018-05,2018-06,34,35,8277.65,1
2018-05,2018-07,17,17,2623.36,2
2018-05,2018-08,12,12,1699.22,3
2018-06,2018-06,5878,5911,981948.67,0
2018-06,2018-07,25,25,3123.97,1
2018-06,2018-08,16,16,1993.21,2
2018-07,2018-07,5949,6007,1003889.58,0
2018-07,2018-08,31,31,4521.75,1
2018-08,2018-08,6144,6180,962952.97,0
